发震时刻,震级,纬度(°),经度(°),深度(千米),参考位置,省份,城市
2024/6/11 1:35,5.0,40.89,84.15,20.0,新疆巴音郭楞州尉犁县,新疆维吾尔自治区,巴音郭楞
2024/6/1 8:46,5.9,34.14,86.36,8.0,西藏那曲市尼玛县,西藏自治区,那曲
2024/6/1 1:10,5.2,24.01,121.59,10.0,台湾花莲县,台湾省,台湾
2024/5/27 11:07,5.0,28.25,100.7,8.0,四川凉山州木里县,四川省,凉山
2024/5/22 16:00,5.0,23.8,121.74,10.0,台湾花莲县海域,台湾省,台湾
2024/5/20 13:10,5.2,40.28,77.05,19.0,新疆克孜勒苏州阿图什市,新疆维吾尔自治区,克孜勒苏
2024/5/10 15:45,5.6,24.22,121.89,10.0,台湾花莲县海域,台湾省,台湾
2024/5/6 17:52,5.2,23.7,121.57,25.0,台湾花莲县海域,台湾省,台湾
2024/5/6 17:45,5.3,23.71,121.62,20.0,台湾花莲县海域,台湾省,台湾
2024/4/27 2:49,5.3,24.21,121.77,27.0,台湾花莲县海域,台湾省,台湾
2024/4/27 2:21,5.6,24.08,121.77,30.0,台湾花莲县海域,台湾省,台湾
2024/4/25 2:11,5.0,23.95,122.31,10.0,台湾花莲县海域,台湾省,台湾
2024/4/23 10:21,5.0,23.82,121.6,10.0,台湾花莲县海域,台湾省,台湾
2024/4/23 9:45,5.0,23.8,121.58,10.0,台湾花莲县海域,台湾省,台湾
2024/4/23 8:04,6.0,23.87,121.59,10.0,台湾花莲县,台湾省,台湾
2024/4/23 5:31,5.3,23.81,121.6,10.0,台湾花莲县海域,台湾省,台湾
2024/4/23 5:24,5.0,23.73,121.49,10.0,台湾花莲县,台湾省,台湾
2024/4/23 5:19,5.2,23.76,121.58,10.0,台湾花莲县海域,台湾省,台湾
2024/4/23 5:04,5.1,23.69,121.52,10.0,台湾花莲县,台湾省,台湾
2024/4/23 4:49,5.8,23.69,121.58,10.0,台湾花莲县海域,台湾省,台湾
2024/4/23 2:32,6.2,23.81,121.53,10.0,台湾花莲县,台湾省,台湾
2024/4/23 2:26,6.3,23.7,121.68,10.0,台湾花莲县海域,台湾省,台湾
2024/4/22 22:11,5.9,23.79,121.49,9.0,台湾花莲县,台湾省,台湾
2024/4/22 21:13,5.1,23.67,121.54,10.0,台湾花莲县,台湾省,台湾
2024/4/22 18:50,5.7,23.76,121.51,10.0,台湾花莲县,台湾省,台湾
2024/4/22 18:46,5.3,23.74,121.59,10.0,台湾花莲县海域,台湾省,台湾
2024/4/22 17:08,5.3,23.72,121.59,10.0,台湾花莲县海域,台湾省,台湾
2024/4/21 10:40,5.0,23.49,121.6,20.0,台湾花莲县海域,台湾省,台湾
2024/4/13 13:44,5.2,33.56,81.84,10.0,西藏阿里地区日土县,西藏自治区,阿里
2024/4/10 22:56,5.6,41.98,82.56,16.0,新疆阿克苏地区拜城县,新疆维吾尔自治区,阿克苏
2024/4/8 4:47,5.1,41.93,82.07,18.0,新疆阿克苏地区拜城县,新疆维吾尔自治区,阿克苏
2024/4/7 16:46,5.4,41.94,82.14,17.0,新疆阿克苏地区拜城县,新疆维吾尔自治区,阿克苏
2024/4/4 8:39,5.5,38.39,90.93,10.0,青海海西州茫崖市,青海省,海西
2024/4/3 10:28,5.1,24.22,121.8,10.0,台湾花莲县海域,台湾省,台湾
2024/4/3 10:14,5.6,24.14,121.76,10.0,台湾花莲县海域,台湾省,台湾
2024/4/3 9:39,5.6,23.8,121.89,10.0,台湾花莲县海域,台湾省,台湾
2024/4/3 9:09,5.0,24.06,121.79,10.0,台湾花莲县海域,台湾省,台湾
2024/4/3 8:46,5.5,24.07,121.81,10.0,台湾花莲县海域,台湾省,台湾
2024/4/3 8:43,5.2,23.94,121.57,10.0,台湾花莲县,台湾省,台湾
2024/4/3 8:35,5.9,24.18,121.53,10.0,台湾花莲县,台湾省,台湾
2024/4/3 8:11,6.0,24.1,121.65,10.0,台湾花莲县海域,台湾省,台湾
2024/4/3 7:58,7.3,23.81,121.74,12.0,台湾花莲县海域,台湾省,台湾
2024/3/7 18:06,5.5,33.58,93.01,10.0,青海玉树州杂多县,青海省,克孜勒苏
2024/3/5 10:07,5.3,33.52,93.01,10.0,青海玉树州杂多县,青海省,克孜勒苏
2024/2/25 12:14,5.8,41.15,78.41,11.0,新疆克孜勒苏州阿合奇县,新疆维吾尔自治区,克孜勒苏
2024/2/24 6:58,5.3,41.12,78.54,10.0,新疆克孜勒苏州阿合奇县,新疆维吾尔自治区,克孜勒苏
2024/1/30 6:27,5.7,41.15,78.67,10.0,新疆克孜勒苏州阿合奇县,新疆维吾尔自治区,克孜勒苏
2024/1/26 4:01,5.6,41.29,78.83,18.0,新疆阿克苏地区乌什县,新疆维吾尔自治区,阿克苏
2024/1/25 6:21,5.2,41.08,78.55,15.0,新疆克孜勒苏州阿合奇县,新疆维吾尔自治区,克孜勒苏
2024/1/23 3:36,5.3,41.11,78.66,20.0,新疆克孜勒苏州阿合奇县,新疆维吾尔自治区,克孜勒苏
2024/1/23 2:42,5.2,41.33,78.7,14.0,新疆阿克苏地区乌什县,新疆维吾尔自治区,阿克苏
2024/1/23 2:09,7.1,41.26,78.63,22.0,新疆阿克苏地区乌什县,新疆维吾尔自治区,阿克苏
2023/12/19 9:46,5.5,40.02,77.86,10.0,新疆克孜勒苏州阿图什市,新疆维吾尔自治区,克孜勒苏
2023/12/18 23:59,6.2,35.7,102.79,10.0,甘肃临夏州积石山县,甘肃省,临夏
2023/12/2 1:36,5.0,24.26,98.08,10.0,云南德宏州芒市,云南省,德宏
2023/12/1 22:55,5.0,39.3,97.27,9.0,甘肃酒泉市肃北县,甘肃省,酒泉
2023/11/8 2:09,5.4,40.47,77.72,10.0,新疆克孜勒苏州阿图什市,新疆维吾尔自治区,克孜勒苏
2023/10/24 19:32,5.5,39.43,97.28,10.0,甘肃酒泉市肃北县,甘肃省,酒泉
2023/10/24 7:05,5.9,23.96,122.83,10.0,台湾花莲县海域,台湾省,台湾
2023/10/23 3:20,5.0,23.32,117.39,10.0,广东汕头市南澳县海域,广东省,汕头
2023/10/11 18:36,5.4,23.24,121.32,14.0,台湾花莲县,台湾省,台湾
2023/8/6 2:33,5.5,37.16,116.34,10.0,山东德州市平原县,山东省,德州
2023/7/9 3:47,5.4,22.03,121.49,10.0,台湾屏东县海域,台湾省,台湾
2023/5/2 23:27,5.2,25.35,99.28,10.0,云南保山市隆阳区,云南省,保山
2023/2/27 7:58,5.1,41.87,79.85,10.0,新疆阿克苏地区温宿县,新疆维吾尔自治区,阿克苏
2023/1/30 7:49,6.1,40.01,82.29,50.0,新疆阿克苏地区沙雅县,新疆维吾尔自治区,阿克苏
2023/1/26 3:49,5.6,29.63,102.01,11.0,四川甘孜州泸定县,四川省,甘孜
2022/12/22 10:47,5.0,35.56,99.14,9.0,青海果洛州玛多县,青海省,果洛
2022/12/15 12:03,5.9,23.73,121.79,10.0,台湾花莲县海域,台湾省,台湾
2022/12/8 0:54,5.1,23.77,121.71,30.0,台湾花莲县海域,台湾省,台湾
2022/11/19 1:27,5.0,23.37,102.26,8.0,云南红河州红河县,云南省,红河
2022/11/13 9:47,5.0,22.44,121.1,10.0,台湾台东县海域,台湾省,台湾
2022/11/10 13:01,5.6,28.35,94.48,10.0,西藏林芝市墨脱县,西藏自治区,林芝
2022/10/23 23:06,5.1,37.71,77.85,17.0,新疆和田地区皮山县,新疆维吾尔自治区,和田
2022/10/22 13:17,5.0,29.61,102.03,12.0,四川甘孜州泸定县,四川省,甘孜
2022/10/19 12:35,5.5,37.69,92.3,11.0,青海海西州茫崖市,青海省,海西
2022/10/16 16:54,5.1,39.42,78.13,17.0,新疆喀什地区巴楚县,新疆维吾尔自治区,喀什
2022/10/11 3:24,5.6,23.93,122.26,20.0,台湾花莲县海域,台湾省,台湾
2022/9/19 10:07,5.7,23.42,121.35,10.0,台湾花莲县,台湾省,台湾
2022/9/18 17:39,5.4,23.28,121.34,10.0,台湾花莲县,台湾省,台湾
2022/9/18 14:44,6.9,23.15,121.3,10.0,台湾花莲县,台湾省,台湾
2022/9/18 14:32,5.0,23.17,121.2,10.0,台湾台东县,台湾省,台湾
2022/9/18 13:19,5.7,23.09,121.27,12.0,台湾台东县,台湾省,台湾
2022/9/17 22:45,5.3,23.1,121.25,10.0,台湾台东县,台湾省,台湾
2022/9/17 21:41,6.5,23.05,121.21,10.0,台湾台东县,台湾省,台湾
2022/9/5 12:52,6.8,29.59,102.08,16.0,四川甘孜州泸定县,四川省,甘孜
2022/8/14 16:20,5.9,33.14,92.85,10.0,青海玉树州杂多县,青海省,玉树
2022/7/3 6:02,5.2,40.88,78.14,10.0,新疆克孜勒苏州阿合奇县,新疆维吾尔自治区,克孜勒苏
2022/7/2 4:13,5.1,37.59,78.6,10.0,新疆和田地区皮山县,新疆维吾尔自治区,和田
2022/6/28 21:43,5.3,22.18,120.11,20.0,台湾屏东县海域,台湾省,台湾
2022/6/24 2:27,5.1,41.73,90.67,25.0,新疆吐鲁番市鄯善县,新疆维吾尔自治区,吐鲁番
2022/6/20 9:05,5.9,23.66,121.52,10.0,台湾花莲县,台湾省,台湾
2022/6/10 3:27,5.2,32.24,101.85,15.0,四川阿坝州马尔康市,四川省,阿坝
2022/6/10 1:28,6.0,32.25,101.82,13.0,四川阿坝州马尔康市,四川省,阿坝
2022/6/10 0:03,5.8,32.27,101.82,10.0,四川阿坝州马尔康市,四川省,阿坝
2022/6/8 14:52,5.0,36.09,77.78,10.0,新疆和田地区皮山县,新疆维吾尔自治区,和田
2022/6/7 9:57,5.4,25.58,123.53,210.0,台湾东北部海域,台湾省,台湾
2022/6/1 17:00,6.1,30.37,102.94,17.0,四川雅安市芦山县,四川省,雅安
2022/5/9 14:23,6.2,24.01,122.51,16.0,台湾花莲县海域,台湾省,台湾
2022/4/15 9:26,5.4,38.52,97.33,10.0,青海海西州德令哈市,青海省,海西
2022/4/11 21:47,5.1,21.62,120.97,18.0,台湾屏东县海域,台湾省,台湾
2022/4/8 7:36,5.3,21.67,121.0,10.0,台湾屏东县海域,台湾省,台湾
2022/4/6 7:50,5.1,28.22,105.03,10.0,四川宜宾市兴文县,四川省,宜宾
2022/3/26 0:21,6.0,38.5,97.33,10.0,青海海西州德令哈市,青海省,海西
2022/3/24 8:38,5.2,23.24,121.58,24.0,台湾台东县海域,台湾省,台湾
2022/3/23 4:29,5.7,23.39,121.52,20.0,台湾台东县海域,台湾省,台湾
2022/3/23 3:35,5.2,23.44,121.6,15.0,台湾花莲县海域,台湾省,台湾
2022/3/23 1:43,5.7,23.5,121.4,20.0,台湾花莲县,台湾省,台湾
2022/3/23 1:41,6.6,23.45,121.55,20.0,台湾台东县海域,台湾省,台湾
2022/3/17 21:41,5.2,36.1,77.86,10.0,新疆和田地区皮山县,新疆维吾尔自治区,和田
2022/3/17 8:26,5.1,39.02,97.66,9.0,甘肃张掖市肃南县,甘肃省,张掖
2022/3/9 20:22,5.1,23.21,121.58,30.0,台湾台东县海域,台湾省,台湾
2022/2/12 0:43,5.4,24.01,122.44,10.0,台湾花莲县海域,台湾省,台湾
2022/2/7 18:58,5.1,24.39,122.01,34.0,台湾宜兰县海域,台湾省,台湾
2022/1/23 10:21,5.8,38.44,97.37,8.0,青海海西州德令哈市,青海省,海西
2022/1/12 18:20,5.2,37.69,101.49,10.0,青海海北州门源县,青海省,海北
2022/1/8 2:09,5.1,37.78,101.24,12.0,青海海北州门源县,青海省,海北
2022/1/8 1:45,6.9,37.77,101.26,10.0,青海海北州门源县,青海省,海北
2022/1/3 17:46,6.4,24.0,122.39,15.0,台湾花莲县海域,台湾省,台湾
2022/1/2 15:02,5.5,27.79,100.65,10.0,云南丽江市宁蒗县,云南省,丽江
2021/12/30 14:47,5.1,23.9,122.5,20.0,台湾花莲县海域,台湾省,台湾
2021/12/19 7:54,5.3,38.95,92.73,10.0,青海海西州茫崖市,青海省,海西
2021/11/30 21:53,5.8,31.76,87.94,10.0,西藏那曲市双湖县,西藏自治区,那曲
2021/11/17 13:54,5.0,33.5,121.19,17.0,江苏盐城市大丰区海域,江苏省,盐城
2021/10/24 13:11,6.3,24.55,121.8,60.0,台湾宜兰县,台湾省,台湾
2021/9/16 4:33,6.0,29.2,105.34,10.0,四川泸州市泸县,四川省,泸州
2021/9/6 22:00,5.2,23.9,122.07,21.0,台湾花莲县海域,台湾省,台湾
2021/9/5 1:52,5.0,37.79,77.85,10.0,新疆喀什地区叶城县,新疆维吾尔自治区,喀什
2021/9/4 9:54,5.1,37.87,77.96,7.0,新疆和田地区皮山县,新疆维吾尔自治区,和田
2021/8/26 7:38,5.5,38.88,95.5,15.0,甘肃酒泉市阿克塞县,甘肃省,酒泉
2021/8/13 12:21,5.8,34.58,97.54,8.0,青海果洛州玛多县,青海省,果洛
2021/8/6 19:12,5.1,23.15,121.31,10.0,台湾花莲县,台湾省,台湾
2021/8/6 16:11,5.4,24.76,122.3,20.0,台湾宜兰县海域,台湾省,台湾
2021/8/5 5:50,5.8,24.82,122.31,10.0,台湾宜兰县海域,台湾省,台湾
2021/7/14 6:52,5.2,23.89,121.73,10.0,台湾花莲县海域,台湾省,台湾
2021/7/8 6:11,5.1,23.88,121.68,10.0,台湾花莲县海域,台湾省,台湾
2021/7/7 19:24,5.3,23.88,121.66,9.0,台湾花莲县海域,台湾省,台湾
2021/6/16 16:48,5.8,38.14,93.81,10.0,青海海西州茫崖市,青海省,海西
2021/6/12 18:00,5.0,24.96,97.89,16.0,云南德宏州盈江县,云南省,德宏
2021/6/10 19:46,5.1,24.34,101.91,8.0,云南楚雄州双柏县,云南省,楚雄
2021/5/22 10:29,5.1,34.85,97.5,10.0,青海果洛州玛多县,青海省,果洛
2021/5/22 2:04,7.4,34.59,98.34,17.0,青海果洛州玛多县,青海省,果洛
2021/5/21 22:31,5.2,25.59,99.97,8.0,云南大理州漾濞县,云南省,大理
2021/5/21 21:55,5.0,25.67,99.89,8.0,云南大理州漾濞县,云南省,大理
2021/5/21 21:48,6.4,25.67,99.87,8.0,云南大理州漾濞县,云南省,大理
2021/5/21 21:21,5.6,25.63,99.92,10.0,云南大理州漾濞县,云南省,大理
2021/4/18 22:14,6.1,23.94,121.43,5.0,台湾花莲县,台湾省,台湾
2021/4/18 22:11,5.6,23.92,121.53,7.0,台湾花莲县,台湾省,台湾
2021/3/30 1:27,5.8,34.38,87.68,10.0,西藏那曲市双湖县,西藏自治区,那曲
2021/3/24 5:14,5.4,41.7,81.11,10.0,新疆阿克苏地区拜城县,新疆维吾尔自治区,阿克苏
2021/3/19 14:11,6.1,31.94,92.74,10.0,西藏那曲市比如县,西藏自治区,那曲
2021/3/2 17:23,5.3,21.92,121.17,20.0,台湾屏东县海域,台湾省,台湾
2021/2/9 0:58,5.3,24.32,122.12,20.0,台湾宜兰县海域,台湾省,台湾
2021/2/7 1:36,5.2,24.65,122.5,70.0,台湾宜兰县海域,台湾省,台湾
2021/1/17 7:10,5.1,22.44,121.44,20.0,台湾台东县海域,台湾省,台湾
2021/1/9 19:35,5.1,24.7,122.21,80.0,台湾宜兰县海域,台湾省,台湾
2020/12/10 21:19,5.8,24.74,121.99,80.0,台湾宜兰县海域,台湾省,台湾
2020/9/30 12:37,5.0,24.85,122.14,116.0,台湾宜兰县海域,台湾省,台湾
2020/9/29 4:50,5.0,22.29,121.1,13.0,台湾台东县海域,台湾省,台湾
2020/7/26 20:52,5.5,24.27,122.48,50.0,台湾花莲县海域,台湾省,台湾
2020/7/23 4:07,6.6,33.19,86.81,10.0,西藏那曲市尼玛县,西藏自治区,那曲
2020/7/13 9:28,5.0,44.42,80.82,15.0,新疆伊犁州霍城县,新疆维吾尔自治区,伊犁
2020/7/12 6:38,5.1,39.78,118.44,10.0,河北唐山市古冶区,河北省,唐山
2020/6/26 5:05,6.4,35.73,82.33,10.0,新疆和田地区于田县,新疆维吾尔自治区,和田
2020/6/14 4:18,5.5,24.29,122.41,27.0,台湾宜兰县海域,台湾省,台湾
2020/5/18 21:47,5.0,27.18,103.16,8.0,云南昭通市巧家县,云南省,昭通
2020/5/9 23:35,5.2,40.77,78.76,15.0,新疆阿克苏地区柯坪县,新疆维吾尔自治区,阿克苏
2020/5/6 18:51,5.0,39.71,74.1,10.0,新疆克孜勒苏州乌恰县,新疆维吾尔自治区,克孜勒苏
2020/5/3 11:24,5.4,23.29,121.6,40.0,台湾台东县海域,台湾省,台湾
2020/4/1 20:23,5.6,33.04,98.92,10.0,四川甘孜州石渠县,四川省,甘孜
2020/3/23 3:21,5.0,41.75,81.11,10.0,新疆阿克苏地区拜城县,新疆维吾尔自治区,阿克苏
